Name,Mean (ps),2*Stdev (ps)
All.Sequence.rnf.Seq,27865752,1428038
All.Sequence.rnf.MSeq,26234141,2434804
All.Sequence.rnf.Sequence,57151281,3529064
All.Sequence.rnf.RRBVector,29760368,1911060
All.Sequence.rnf.FingerTree,173018881,14197742
All.Sequence.fromList.Seq,72347164,3147676
All.Sequence.fromList.Seq rev,72502837,3818278
All.Sequence.fromList.MSeq,97692138,7461342
All.Sequence.fromList.Sequence,27445090,1411040
All.Sequence.fromList.RRBVector,30537528,1330080
All.Sequence.fromList.FingerTree,361560112,26922040
All.Sequence.fromList nf.Seq,110152030,5786900
All.Sequence.fromList nf.Seq rev,106425758,6370392
All.Sequence.fromList nf.MSeq,133495421,7075036
All.Sequence.fromList nf.Sequence,87138819,7703398
All.Sequence.fromList nf.RRBVector,60798433,3698550
All.Sequence.fromList nf.FingerTree,671016768,55680706
All.Sequence.fromList fusion.Seq,74803926,3063420
All.Sequence.fromList fusion.Seq rev,73803222,6536218
All.Sequence.fromList fusion.MSeq,103603510,8074130
All.Sequence.fromList fusion.Sequence,93725821,8623208
All.Sequence.fromList fusion.RRBVector,84412265,8204252
All.Sequence.fromList fusion.FingerTree,453862140,35541006
All.Sequence.foldr short-circuit.Seq,31070519,1927894
All.Sequence.foldr short-circuit.MSeq,31354034,1758370
All.Sequence.foldr short-circuit.Sequence,63334748,6299856
All.Sequence.foldr short-circuit.RRBVector,10026357,448962
All.Sequence.foldr short-circuit.FingerTree,246713603,21379898
All.Sequence.cps sum foldr.Seq,63034291,5742370
All.Sequence.cps sum foldr.MSeq,62454942,3483304
All.Sequence.cps sum foldr.Sequence,113484451,8096660
All.Sequence.cps sum foldr.RRBVector,123834402,6689488
All.Sequence.cps sum foldr.FingerTree,431396275,39222428
All.Sequence.foldl short-circuit.Seq,22296011,1592308
All.Sequence.foldl short-circuit.MSeq,22291715,833118
All.Sequence.foldl short-circuit.Sequence,62259682,3333042
All.Sequence.foldl short-circuit.RRBVector,10054147,389544
All.Sequence.foldl short-circuit.FingerTree,319816390,23446744
All.Sequence.cps sum foldl.Seq,50904758,3306712
All.Sequence.cps sum foldl.MSeq,50337275,2860868
All.Sequence.cps sum foldl.Sequence,107099732,5725752
All.Sequence.cps sum foldl.RRBVector,124701921,10864214
All.Sequence.cps sum foldl.FingerTree,770121631,55684296
All.Sequence.sum . toList.Seq,61728535,5500776
All.Sequence.sum . toList.MSeq,61316317,5997924
All.Sequence.sum . toList.Sequence,106764781,6317704
All.Sequence.sum . toList.RRBVector,70638675,3011014
All.Sequence.sum . toList.FingerTree,429955995,24180308
